year,World,Australia,Canada,China,Denmark,India,Japan,New_Zealand,Sweden,Switzerland,United_Kingdom,United_States
1990,19.3620390501181,9.65603064418908,62.3787188226728,20.4079398906752,3.17527519051651,24.4892939617124,11.2547375128502,80.0061986672865,51.0001096010522,54.9825429153331,1.82876744661768,11.5286468488794
1991,19.2335677739093,10.598201052793,61.4104129913602,18.4711307876776,2.89232453139964,22.8074022101386,11.8567348664881,77.1894521864488,44.300877730149,57.1637015681035,1.65643904503473,10.7574142290523
1992,19.158396961621,10.066865251436,61.6792144214931,17.5846836703706,4.39846444140803,20.7526521363897,10.162887763094,72.5877059646136,52.333214559807,56.9093840032926,2.00566157083539,9.91611011689915
1993,19.787949969373,10.549143571271,61.7223279842591,18.1252601684878,4.73008771413434,19.5588133409081,11.4545277492387,77.0240700218818,52.9243289018018,59.5727900098587,1.77762579080721,10.4843256121149
1994,19.5381185785074,10.1944738557986,60.4004513445858,18.0884357039359,4.29543102173592,21.21909967171,7.99302625314003,82.052164930705,43.0287316047652,60.5732191990217,2.13984198089987,9.74723552434506
1995,19.8353560896125,9.62414281994155,61.0040981776948,19.2141393015674,5.03563850046248,17.2605391115517,9.41632318714325,83.8528090510787,47.5787798480036,57.4299575889988,2.06653453196948,10.801084989942
1996,19.5051030209783,9.22972782400226,63.1060742256021,17.5522106198623,3.88003433989026,15.7672939365417,9.14620922863757,79.0639651248869,38.4015871774268,52.2088496204512,1.62748022547114,11.5814500482575
1997,19.3829665671802,9.58767572659215,62.3509414225941,17.5124660177764,6.60950016924292,16.015130807865,9.85379465999294,70.0935083133472,48.2775491602214,56.0169054071493,1.98923191477175,10.9778281257659
1998,19.0361841257672,8.4340500156395,60.4060543150615,18.0611563169165,9.54685865784545,16.7011082856411,9.92994480181263,75.6460704030629,49.1828881989533,54.8568310220853,2.39532069159381,9.60858498243135
1999,18.6645840013692,8.54405358817839,61.1837048424289,16.6814659250101,11.2512846865365,15.2580757461935,9.22474326813322,69.524288018616,48.2743254239915,59.3755915716512,2.63271731690623,9.06920058095258
2000,18.3331548724724,8.3816185720276,60.6003011908929,16.6394981921286,15.4550245471944,13.5909480276924,9.11604901056161,71.5010064463526,57.2467310698129,57.0004839392656,2.66310517529215,8.20599694228722
2001,17.8695911310949,8.09845495284596,58.0326562447014,18.9585191657511,15.4947122902807,13.2070435298578,8.96543807616427,63.5550389164055,51.5616200996318,59.3979565988348,2.49733241275421,6.78399231432694
2002,17.7886544086113,7.86091882240146,59.8864192109229,17.6186278990475,17.2805253646244,12.0551611624532,8.70870568322637,69.4774668340348,48.4969325153374,55.2203467501718,2.89317333818692,8.6463611778167
2003,17.3785541675535,8.44069886574851,58.915564963989,15.0370403322247,17.4901485298575,13.4694247561217,10.0221095672445,65.9955366996101,43.3826516668021,54.7247706422018,2.68494730240932,8.88937612108964
2004,17.8097162793288,8.1866501908305,58.4463170880115,16.2232664186372,23.5557424077555,14.4825005007376,9.79582716934759,72.061846038864,44.9493317861452,54.4132153761841,3.61303216638809,8.63018553161945
2005,17.9750902418552,8.80370663945662,60.0294267425595,16.1750249753446,27.0705733046405,16.6190180757235,8.40711373205297,64.2361757587042,51.2941622201875,55.8583813528526,4.28348161223592,8.57846553445898
2006,18.116231987348,9.2993077726263,59.5442882203545,15.5927834152258,20.1727653416939,17.5404247180092,9.44909822599951,64.4786936379065,49.6007984031936,51.7268572164285,4.60208931703226,9.24463118340514
2007,17.881396718674,8.64807246716794,60.2962722574056,15.263347136776,26.2107030216706,17.8640856862195,8.20178689867738,65.5749320046625,52.0269044435336,54.9060040036725,5.01029338042756,8.36776393615508
2008,18.5547475858688,8.11525755637195,61.472527402962,17.7374440648538,27.5726458378851,16.5098337370558,8.78932661054861,64.2516704294087,54.309045058508,55.6790381287666,5.67705220486968,9.00354134718557
2009,19.3341818218483,7.49793425905399,62.8503473332841,17.8637981987375,27.6585218371217,15.6600552489802,9.14571650806042,71.7073619773088,58.4199584199584,55.5442232987866,6.76680846273229,10.2918450711157
2010,19.5609975450815,8.61187962842023,61.396756842691,18.6228260527723,31.9823992589162,16.0437444354595,10.5317771633873,73.1805629787992,55.3017647851273,56.7295464179737,6.81281342640788,10.1203551472397
2011,19.9328250152084,10.4266522781963,62.3382501312229,16.7617704327503,40.2537682023333,17.316962856526,11.4628446015564,76.0402850527168,55.9446004765264,54.0929907136497,9.48905310077413,12.2257135163932
2012,20.9015364054271,10.5926533603071,63.230561170877,19.9662489377563,48.32741604508,15.732973360913,11.1942473822485,71.8665281041027,59.0677497656757,59.4746110948048,11.423960176561,12.0073970634651
2013,21.7103458442356,13.2641083883167,63.2980330554908,20.2962273802567,45.9603373341393,17.3493138262499,12.2052917942741,74.2581122307479,54.0334964811051,59.1938300349243,14.988480137732,12.6379191222813
2014,22.4072584526013,14.9067122095833,62.8249922157553,22.6091537829535,55.9004474272931,16.2538398153488,14.0593593575553,79.2023905298242,55.8376857652682,58.0154631822202,19.2628536831965,12.9538270902926
2015,22.8544560815979,13.6378410946741,63.011450040254,23.926817173663,65.5059246208588,15.3430503454798,15.9847807230219,80.0814387512725,63.2627477135323,62.1979817540887,24.8400504227664,13.2285932109672
